Member,First Name,Last Name,Chamber,Party,State / District,Link,URL,Deadline,Comment,Submitted,Past Caucus Signatory,Caucus,Appropriator,Authorizer,NASA Center,Priority Ranking
Michael Lawler,Michael,Lawler,House,Republican,NY-17,https://docs.google.com/forms/d/e/1FAIpQLSez6eiGdSBn7bFK2QDtAdVjE5P-h0tO3cu01XUl7oGFtnxecg/viewform,https://docs.google.com/forms/d/e/1FAIpQLSez6eiGdSBn7bFK2QDtAdVjE5P-h0tO3cu01XUl7oGFtnxecg/viewform,3/6/2026,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Mary Gay Scanlon,Mary Gay,Scanlon,House,Democrat,PA-05,https://docs.google.com/forms/d/e/1FAIpQLSetqAhlaMR_CB4zYEysd6rFn_VqsfPly3HWzna-8C7LoeVx2A/viewform,https://docs.google.com/forms/d/e/1FAIpQLSetqAhlaMR_CB4zYEysd6rFn_VqsfPly3HWzna-8C7LoeVx2A/viewform,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Christina Houlahan,Christina,Houlahan,House,Democrat,PA-06,https://docs.google.com/forms/d/e/1FAIpQLSd_OcP4I_9NN1e382U2i_Rf13NLf1CIokdFwgG38ylp3kUpGQ/viewform,https://docs.google.com/forms/d/e/1FAIpQLSd_OcP4I_9NN1e382U2i_Rf13NLf1CIokdFwgG38ylp3kUpGQ/viewform,3/9/2026,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Donald Beyer,Donald,Beyer,House,Democrat,VA-08,https://beyer.house.gov/forms/form/?ID=92,https://beyer.house.gov/forms/form/?ID=92,TBD,Jack to reach out,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Adam Smith,Adam,Smith,House,Democrat,WA-09,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmG8AHhZ0_whOkNm8zv6fk7JUN1NGWUVIVTVJS05TTU5WME03UVBCUUVTOS4u&route=shorturl,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmG8AHhZ0_whOkNm8zv6fk7JUN1NGWUVIVTVJS05TTU5WME03UVBCUUVTOS4u&route=shorturl,3/6/2026,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Mark Warner,Mark,Warner,Senate,Democrat,VA,https://oampluspublic.senate.gov/public/login/77d3c082-be01-41e9-809d-d6e74e4fdd37,https://oampluspublic.senate.gov/public/login/77d3c082-be01-41e9-809d-d6e74e4fdd37,TBD,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,9
Jeanne Shaheen,Jeanne,Shaheen,Senate,Democrat,NH,https://www.shaheen.senate.gov/appropriations-request,https://www.shaheen.senate.gov/appropriations-request,N/A,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,8
Kirsten Gillibrand,Kirsten,Gillibrand,Senate,Democrat,NY,https://oampluspublic.senate.gov/public/login/cc0c72db-9fb6-408d-8557-8210f8c058e4,https://oampluspublic.senate.gov/public/login/cc0c72db-9fb6-408d-8557-8210f8c058e4,3/22/2026,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,8
Joseph Morelle,Joseph,Morelle,House,Democrat,NY-25,https://docs.google.com/forms/d/e/1FAIpQLScAV5zcnG1fK5AN1aCTZZHkSquu_YF8A8JzcHHYMJNXRDsyXg/viewform,https://docs.google.com/forms/d/e/1FAIpQLScAV5zcnG1fK5AN1aCTZZHkSquu_YF8A8JzcHHYMJNXRDsyXg/viewform,3/6/2026,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,8
George Whitesides,George,Whitesides,House,Democrat,CA-27,https://docs.google.com/forms/d/e/1FAIpQLSfycADmGPbdFIECT9CPKiBSYw-NOLU3BNFcbeE_ZKSTKFGg0A/viewform,https://docs.google.com/forms/d/e/1FAIpQLSfycADmGPbdFIECT9CPKiBSYw-NOLU3BNFcbeE_ZKSTKFGg0A/viewform,3/2/2026,Jack to reach out,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7
Luz Rivas,Luz,Rivas,House,Democrat,CA-29,https://docs.google.com/forms/d/e/1FAIpQLSfBKcR25v_qrFs89A6mE3qobtC7bFzZ5a6eZ_Fy_6VZZZ8htw/viewform,https://docs.google.com/forms/d/e/1FAIpQLSfBKcR25v_qrFs89A6mE3qobtC7bFzZ5a6eZ_Fy_6VZZZ8htw/viewform,3/6/2026,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,7
Laura Friedman,Laura,Friedman,House,Democrat,CA-30,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmAo70gbh9wdGmChznVYQgjVUNEE4RzFLMUQ3NFdPNllZUUo5R1lGVTlRVi4u,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmAo70gbh9wdGmChznVYQgjVUNEE4RzFLMUQ3NFdPNllZUUo5R1lGVTlRVi4u,3/6/2026,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,7
Sarah McBride,Sarah,McBride,House,Democrat,DE-00,https://docs.google.com/forms/d/e/1FAIpQLSfAgsV_GCdNjmwlhIuVWACEFisy77Y7plqMe9qIOsSE4u18Bg/viewform,https://docs.google.com/forms/d/e/1FAIpQLSfAgsV_GCdNjmwlhIuVWACEFisy77Y7plqMe9qIOsSE4u18Bg/viewform,3/6/2026,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,7
April McClain Delaney,April,McClain Delaney,House,Democrat,MD-06,https://mcclaindelaney.house.gov/services/appropriations-requests,https://docs.google.com/forms/d/e/1FAIpQLSduCmwdRzjLmG8l-tvWJPuvMmKmxnJq9-fesRcL2YjwYTBb-A/viewform,3/13/2026,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,7
Deborah Ross,Deborah,Ross,House,Democrat,NC-02,https://ross.house.gov/appropriations-request,https://docs.google.com/forms/d/e/1FAIpQLSciAxebd5WE4ZbGxoQSG8cE83RlpCgEoF4zKDVX55MebIt6QA/viewform,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,7
Valerie Foushee,Valerie,Foushee,House,Democrat,NC-04,https://foushee.house.gov/appropriations-request,https://docs.google.com/forms/d/e/1FAIpQLSdZ1eYH_iXexqD2S8Zw1PnmVHVAEBAVOBt3wWjHB6sZVuxu_Q/viewform,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,7
Josh Riley,Josh,Riley,House,Democrat,NY-19,https://riley.house.gov/services/appropriations-requests/,https://docs.google.com/forms/d/e/1FAIpQLSdBde0zL3gLq-2RJdJU20Pl3bPDYDynYlWQS2eNHYe-G1F_DQ/viewform,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,7
Max Miller,Max,Miller,House,Republican,OH-07,https://maxmiller.house.gov/fy27-appropriations-requests,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmPhOgVx1-iJFs37yo5-r_IVUQjNUQVlZMU9KSUZOVFo3N0I2NFRQN1dXUCQlQCN0PWcu,TBD,Jack to reach out,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7
Emilia Sykes,Emilia,Sykes,House,Democrat,OH-13,https://sykes.house.gov/appropriations,https://docs.google.com/forms/d/e/1FAIpQLScu_YiNXvRszEwKykd52LOLDbGr_SNhhdEA9Uf0ee4lcZpAKw/viewform,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7
Suhas Subramanyam,Suhas,Subramanyam,House,Democrat,VA-10,https://docs.google.com/forms/d/e/1FAIpQLSfam2N-8aVZbMwN_LY-ovKQi67Zg4Su6YquI3-bEgpMyICb5A/viewform,https://docs.google.com/forms/d/e/1FAIpQLSfam2N-8aVZbMwN_LY-ovKQi67Zg4Su6YquI3-bEgpMyICb5A/viewform,3/6/2026,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7
Alex Padilla,Alex,Padilla,Senate,Democrat,CA,https://www.padilla.senate.gov/services/appropriations/,https://oampluspublic.senate.gov/public/login/a0cce480-bff7-4060-a200-ad0aaeaed2d2,3/13/2026,Sign up here to be notified.,FALSE,TRUE,,FALSE,FALSE,TRUE,6
Sam Liccardo,Sam,Liccardo,House,Democrat,CA-16,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
Eleanor Holmes Norton,Eleanor,Holmes Norton,House,Democrat,DC-98,,#ERROR!,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
Tim Kaine,Tim,Kaine,Senate,Democrat,VA,https://www.kaine.senate.gov/appropriations,https://oampluspublic.senate.gov/public/login/c3b38f09-7801-4796-b34e-5e6ecd681725,TBD,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
Robert Scott,Robert,Scott,House,Democrat,VA-03,https://bobbyscott.house.gov/FY27,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmPpWZ5bE0uxIithPFJ_kLapUM09GWFkyVVhLNVBNU1JWTU9EMUtISks0Ui4u,3/6/2026,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
Robert Aderholt,Robert,Aderholt,House,Republican,AL-4,link,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmGjFvHWhHB1Mtk2B8c7YOHFUOEhESkw5TDlGMUVKRzJJSUE0UDYxQU41NC4u&web=1&wdLOR=c875A92A1-0B39-4D43-8298-E45CB248B676&route=shorturl,2/27/2026,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
Brad Sherman,Brad,Sherman,House,Democrat,CA-32,https://sherman.house.gov/legislation/funding-requests,https://docs.google.com/forms/d/e/1FAIpQLSdBHJ_ts7Igo5R4AElq92Pbt-fgbAbe-5f8DmS2uWsWvLOsjw/viewform,3/6/2026,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
Scott Franklin,Scott,Franklin,House,Republican,FL-18,https://docs.google.com/forms/d/e/1FAIpQLSdrVsC-lGds_MfaeVraV5oUiafA1pMZUlnd4vXsHsJHzpJeuQ/viewform,https://docs.google.com/forms/d/e/1FAIpQLSdrVsC-lGds_MfaeVraV5oUiafA1pMZUlnd4vXsHsJHzpJeuQ/viewform,3/20/2026,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
Brian Schatz,Brian,Schatz,Senate,Democrat,HI,https://www.schatz.senate.gov/services/appropriations-requests,https://oampluspublic.senate.gov/public/login/0b819326-e830-4e99-a714-f5eb1ae03f7c,2/17/2026,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
Jerry Moran,Jerry,Moran,Senate,Republican,KS,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
Gary Peters,Gary,Peters,Senate,Democrat,MI,https://forms.office.com/pages/responsepage.aspx?id=yQ08CVqFVEaBVDu8JMTbfsVYUu3-o41MvKiqVk47oNBUQVpMWEU2MzBKRkdMVTRXSlVUUU9SRk5FSC4u&route=shorturl,https://forms.office.com/pages/responsepage.aspx?id=yQ08CVqFVEaBVDu8JMTbfsVYUu3-o41MvKiqVk47oNBUQVpMWEU2MzBKRkdMVTRXSlVUUU9SRk5FSC4u&route=shorturl,3/27/2026,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
Deb Fischer,Deb,Fischer,Senate,Republican,NE,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
Chuck Fleischmann,Chuck,Fleischmann,House,Republican,TN-03,https://docs.google.com/forms/d/e/1FAIpQLSdMvfs9k8sshP7JhZOHsHcqsN3rIBow9rUG0uzftt6xvCnI4w/viewform,https://docs.google.com/forms/d/e/1FAIpQLSdMvfs9k8sshP7JhZOHsHcqsN3rIBow9rUG0uzftt6xvCnI4w/viewform,3/7/2026,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
Pete Sessions,Pete,Sessions,House,Republican,TX-17,https://sessions.house.gov/appropriations-requests,https://docs.google.com/forms/d/e/1FAIpQLSfWymYS7NbQe9_IsZoAU2U_sFr3fReWg-thFpiqg_WenQc9Pw/viewform,3/10/2026,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
Shelley Capito,Shelley,Capito,Senate,Republican,WV,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
Katie Britt,Katie,Britt,Senate,Republican,AL,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4
Dale Strong,Dale,Strong,House,Republican,AL-05,https://drive.google.com/file/d/1-oIcWd2rlGsBZK-u-X4ee9Fn26bglHOz/view,https://drive.google.com/file/d/1-oIcWd2rlGsBZK-u-X4ee9Fn26bglHOz/view,3/6/2026,Jack to reach out,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4
John Kennedy,John,Kennedy,Senate,Republican,LA,https://www.kennedy.senate.gov/public/appropriations,https://www.kennedy.senate.gov/public/appropriations,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4
Chris Van Hollen,Chris,Van Hollen,Senate,Democrat,MD,,,,Sign up here to be notified.,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4
Lisa Murkowski,Lisa,Murkowski,Senate,Republican,AK,https://www.murkowski.senate.gov/fy27-appropriations-and-cds-requests,https://www.murkowski.senate.gov/fy27-appropriations-and-cds-requests,TBD,Will open after Preseident's Budget Request is released: https://www.murkowski.senate.gov/fy27-appropriations-and-cds-requests,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Vince Fong,Vince,Fong,House,Republican,CA-20,https://fong.house.gov/issues/appropriations/related-files/appropriations,https://fong.house.gov/issues/appropriations/related-files/appropriations,TBD,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3
Chris Coons,Chris,Coons,Senate,Democrat,DE,https://www.coons.senate.gov/services/federal-grant-funding/programmatic-funding/,https://oampluspublic.senate.gov/public/login/4e117a7f-e116-44e3-b416-963ff1143bd4,4/10/2026,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Mike Haridopolos,Mike,Haridopolos,House,Republican,FL-08,https://docs.google.com/document/d/1hi2eOsqeTbE4abPRcBULvqRAQf7kGEgv/edit,https://docs.google.com/document/d/1hi2eOsqeTbE4abPRcBULvqRAQf7kGEgv/edit,3/20/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3
Andrew Clyde,Andrew,Clyde,House,Republican,GA-09,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Frank Mrvan,Frank,Mrvan,House,Democrat,IN-01,https://mrvan.house.gov/services/appropriations-requests,https://docs.google.com/forms/d/e/1FAIpQLSfEt1G-bCXTGaUPNA5sbRISjlFJvJ8KmGKOU_aQqiUPkSAnVw/viewform,N/A,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Harold Rogers,Harold,Rogers,House,Republican,KY-05,https://drive.google.com/file/d/18ijzYZm6FX1hyc7XqEQvZwhysPsXXfiI/view,https://drive.google.com/file/d/18ijzYZm6FX1hyc7XqEQvZwhysPsXXfiI/view,3/9/2026,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Susan Collins,Susan,Collins,Senate,Republican,ME,https://www.collins.senate.gov/services/appropriations-request,https://oampluspublic.senate.gov/public/login/dd53fff9-eb06-40c8-a801-033de9235384,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Mark Alford,Mark,Alford,House,Republican,MO-04,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Roger Wicker,Roger,Wicker,Senate,Republican,MS,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3
Grace Meng,Grace,Meng,House,Democrat,NY-06,https://meng.house.gov/services/fiscal-year-2027-appropriations-requests,https://forms.cloud.microsoft/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmPPrnRk_S8lOuPh72QMAdAtUNVJTTE1XSEFHWklXQ1g1OTNaS0gwTkNKWi4u&route=shorturl,3/13/2026,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Jeffrey Merkley,Jeffrey,Merkley,Senate,Democrat,OR,https://oampluspublic.senate.gov/public/login/8dbd725c-5588-45b8-ac89-28f39a3a4158,https://oampluspublic.senate.gov/public/login/8dbd725c-5588-45b8-ac89-28f39a3a4158,One week after release of President's Budget Request,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Madeleine Dean,Madeleine,Dean,House,Democrat,PA-04,https://dean.house.gov/appropriations-request,https://docs.google.com/forms/d/e/1FAIpQLSf-6Kn_fKE5658XcQcOnUPk5fp-nakPzkSxbB3Q83pyIBLU2Q/viewform,TBD,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Jack Reed,Jack,Reed,Senate,Democrat,RI,,,N/A,Email jackie_miech@reed.senate.gov,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Lindsey Graham,Lindsey,Graham,Senate,Republican,SC,https://www.lgraham.senate.gov/public/index.cfm/congressionally-directed-spending-requests,,N/A,Sign up here to be notified,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Bill Hagerty,Bill,Hagerty,Senate,Republican,TN,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Tony Gonzales,Tony,Gonzales,House,Republican,TX-23,https://gonzales.house.gov/appropriations-request,https://docs.google.com/forms/d/1ZZa-p_fOu7T1E3hNEepOQH5VzN8VrUNIDidxON1pLds/viewform?edit_requested=true,2/27/2026,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
John Carter,John,Carter,House,Republican,TX-31,https://carter.house.gov/appropriations-request/,https://docs.google.com/forms/d/e/1FAIpQLSfYvWr3jnc3x4osiMWaznHAHW2nOhyM0pI6zS-U6q9-pXJkiw/viewform,3/6/2026,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Brian Babin,Brian,Babin,House,Republican,TX-36,Email sam.bryant@mail.house.gov,,TBD,Email sam.bryant@mail.house.gov,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3
Benjamin Cline,Benjamin,Cline,House,Republican,VA-06,https://forms.cloud.microsoft/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmJLr2XsgejlCjIpqECDv7-1UODVMQTFQTFBZQVRNVEY0S1ZBNDlYU0cwWi4u&route=shorturl,https://forms.cloud.microsoft/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmJLr2XsgejlCjIpqECDv7-1UODVMQTFQTFBZQVRNVEY0S1ZBNDlYU0cwWi4u&route=shorturl,3/13/2026,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Riley Moore,Riley,Moore,House,Republican,WV-02,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
Daniel Sullivan,Daniel,Sullivan,Senate,Republican,AK,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Nick Begich,Nick,Begich,House,Republican,AK-00,https://docs.google.com/forms/d/e/1FAIpQLSeQN1nOjtlqMwVSJ5QvLt2rvJVD8PznEubLYBoc0nNgAuGUcg/viewform,https://docs.google.com/forms/d/e/1FAIpQLSeQN1nOjtlqMwVSJ5QvLt2rvJVD8PznEubLYBoc0nNgAuGUcg/viewform,3/9/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Zoe Lofgren,Zoe,Lofgren,House,Democrat,CA-18,https://lofgren.house.gov/FY27-appropriations,https://docs.google.com/forms/d/10NVkoitIyDnJ9pyUuUubTM7KZ9a6DzQiDvmNtDM4sb8/viewform?edit_requested=true,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Jay Obernolte,Jay,Obernolte,House,Republican,CA-23,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmOo5WpE6LbpJoEk2dFTotFhUOEJYQzZISVM3MEJGVUtTRUlNRFRSQzAzRC4u&wdLOR=cFBCCC9E2-24A6-47A0-88B4-C323DB376F1E,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmOo5WpE6LbpJoEk2dFTotFhUOEJYQzZISVM3MEJGVUtTRUlNRFRSQzAzRC4u&wdLOR=cFBCCC9E2-24A6-47A0-88B4-C323DB376F1E,TBD,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Darrell Issa,Darrell,Issa,House,Republican,CA-48,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmGoYRw1o-NZHvFdLrT-FvN9UMVdYWko0V0NGNUU4VlNWVEZFVDhYWVBYTS4u&web=1&wdLOR=cEDCF7C62-D7DC-4B1C-973D-612383839FDB&route=shorturl,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmGoYRw1o-NZHvFdLrT-FvN9UMVdYWko0V0NGNUU4VlNWVEZFVDhYWVBYTS4u&web=1&wdLOR=cEDCF7C62-D7DC-4B1C-973D-612383839FDB&route=shorturl,3/9/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
John Hickenlooper,John,Hickenlooper,Senate,Democrat,CO,https://www.hickenlooper.senate.gov/appropriations-requests/,https://docs.google.com/forms/d/e/1FAIpQLSd9kiEEiGikIKXGX9yjPVj63y8AprbHy-djMN1EfBBDidxjzw/viewform,TBD,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Jeff Hurd,Jeff,Hurd,House,Republican,CO-03,https://hurd.house.gov/services/fy-2027-appropriations-request,https://hurd.house.gov/sites/evo-subsites/hurd.house.gov/files/evo-media-document/hurd-programmatic-language-form-fy27.pdf,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Lisa Blunt Rochester,Lisa,Blunt Rochester,Senate,Democrat,DE,https://oampluspublic.senate.gov/public/login/ab6de387-317e-4280-a3c3-17259ed08d67,https://oampluspublic.senate.gov/public/login/ab6de387-317e-4280-a3c3-17259ed08d67,3/27/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Maxwell Frost,Maxwell,Frost,House,Democrat,FL-10,https://frost.house.gov/services/appropriations-requests,https://forms.cloud.microsoft/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmNMmSBezZRFLhuuDqgVqJT1UM1ZZRzBaMU1XME1LOTFQQUdMWTRYSE5ZWC4u,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
